acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
12,0.35294117647058804,0,0,65,8,152,99,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,34,0,1.0,123,0,2
9,0.14516129032258002,0,0,74,0,153,0,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,62,0,1.0,123,0,3
2,0.016528925619834,0,0,95,0,148,0,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,121,0,1.0,123,0,4
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.01,16,252,0,1.0,123,0,5
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,533,0,1.0,123,0,6
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,1109,0,1.0,123,0,7
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,2220,0,1.0,123,0,8
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,4000,0,0.9544261512765451,123,0,9
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,4000,0,0.534045393858477,123,0,10
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,4000,0,0.31528336092062703,123,0,11
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,4000,0,0.19778481012658203,123,0,12
0,0.0,0,0,-1,-1,-1,-1,random,1586,24,avg cp length,hypervisor count,0.51,heuristics,0.1,158,25_italy,0.0,16,4000,0,0.133351113481797,123,0,13
28,0.8235294117647051,0,0,164,36,314,283,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.0,16,34,0,1.0,123,0,2
27,0.43548387096774105,0,0,193,60,314,283,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.01,16,62,0,1.0,123,0,3
20,0.165289256198347,0,0,193,51,314,280,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.01,16,121,0,1.0,123,0,4
9,0.035714285714285005,0,0,197,50,314,280,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.03,16,252,0,1.0,123,0,5
2,0.0037523452157590003,0,0,227,65,314,231,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.07,16,533,0,1.0,123,0,6
0,0.0,0,0,-1,-1,-1,-1,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.13,16,1109,0,1.0,123,0,7
0,0.0,0,0,-1,-1,-1,-1,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.0,16,2220,0,1.0,123,0,8
0,0.0,0,0,-1,-1,-1,-1,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.0,16,4000,0,0.9544261512765451,123,0,9
0,0.0,0,0,-1,-1,-1,-1,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.0,16,4000,0,0.534045393858477,123,0,10
0,0.0,0,0,-1,-1,-1,-1,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.0,16,4000,0,0.31528336092062703,123,0,11
0,0.0,0,0,-1,-1,-1,-1,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.0,16,4000,0,0.19778481012658203,123,0,12
0,0.0,0,0,-1,-1,-1,-1,random,1586,17,avg cp length,hypervisor count,0.87,heuristics,0.2,317,25_italy,0.0,16,4000,0,0.133351113481797,123,0,13
30,0.8823529411764701,0,0,330,172,471,455,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.01,16,34,0,1.0,123,0,2
34,0.5483870967741931,0,0,315,171,471,455,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.01,16,62,0,1.0,123,0,3
28,0.231404958677685,0,0,308,160,471,455,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.03,16,121,0,1.0,123,0,4
14,0.055555555555555004,0,0,311,158,471,455,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.07,16,252,0,1.0,123,0,5
6,0.011257035647279002,0,0,328,162,471,455,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.17,16,533,0,1.0,123,0,6
3,0.002705139765554,0,0,291,115,464,370,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.4,16,1109,0,1.0,123,0,7
0,0.0,0,0,-1,-1,-1,-1,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.98,16,2220,0,1.0,123,0,8
0,0.0,0,0,-1,-1,-1,-1,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.0,16,4000,0,0.9544261512765451,123,0,9
0,0.0,0,0,-1,-1,-1,-1,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.0,16,4000,0,0.534045393858477,123,0,10
0,0.0,0,0,-1,-1,-1,-1,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.0,16,4000,0,0.31528336092062703,123,0,11
0,0.0,0,0,-1,-1,-1,-1,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.0,16,4000,0,0.19778481012658203,123,0,12
0,0.0,0,0,-1,-1,-1,-1,random,1586,12,avg cp length,hypervisor count,1.43,heuristics,0.3,475,25_italy,0.0,16,4000,0,0.133351113481797,123,0,13
25,0.7352941176470581,0,0,483,271,633,597,random,1586,8,avg cp length,hypervisor count,3.0,heuristics,0.4,634,25_italy,0.01,16,34,0,1.0,123,0,2
32,0.5161290322580641,0,0,458,304,633,594,random,1586,8,avg cp length,hypervisor count,3.0,heuristics,0.4,634,25_italy,0.03,16,62,0,1.0,123,0,3
25,0.20661157024793303,0,0,414,227,633,597,random,1586,8,avg cp length,hypervisor count,3.0,heuristics,0.4,634,25_italy,0.07,16,121,0,1.0,123,0,4
21,0.08333333333333301,0,0,442,266,633,576,random,1586,8,avg cp length,hypervisor count,3.0,heuristics,0.4,634,25_italy,0.19,16,252,0,1.0,123,0,5
10,0.018761726078799,0,0,529,386,633,576,random,1586,8,avg cp length,hypervisor count,3.0,heuristics,0.4,634,25_italy,0.47000000000000003,16,533,0,1.0,123,0,6
2,0.0018034265103690002,0,0,493,339,633,589,random,1586,8,avg cp length,hypervisor count,3.0,heuristics,0.4,634,25_italy,1.22,16,1109,0,1.0,123,0,7
