acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,h_list,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
12,0.35294117647058804,,0,57,3,143,89,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,34,0,1.0,123,0,2
11,0.17741935483870902,,0,73,0,153,0,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,62,0,1.0,123,0,3
2,0.016528925619834,,0,95,0,148,0,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.01,16,121,0,1.0,123,0,4
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.01,16,252,0,1.0,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,533,0,1.0,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,1109,0,1.0,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,2220,0,1.0,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,4000,0,0.9544261512765451,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,4000,0,0.534045393858477,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,4000,0,0.31528336092062703,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,4000,0,0.19778481012658203,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,1586,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24]",avg cp length,hypervisor count,0.28,ilp,0.1,158,25_italy,0.0,16,4000,0,0.133351113481797,123,0,13
