,simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
50,L45_mrs14_rpt4_ttl4,1,4.0,0.5,0.125,0.125,0.5,0.0,158.5,89.0,212.6,185.8,1586.0,7.0,3.1,1.332,0.45,713.0,14.0,42.24,0.0,16.0,4.5,4.0,4.0,0.0,123.0,12.9,11.525,0.5,4.0,0.125
51,L45_mrs14_rpt4_ttl4,2,4.0,0.3,0.075,0.075,0.6,0.0,262.3,167.7,350.8,303.5,1586.0,7.0,1.5,1.554,0.45,713.0,14.0,39.19200000000001,0.0,16.0,4.5,4.0,4.0,0.0,123.0,12.9,11.4,0.8,8.0,0.1
52,L45_mrs14_rpt4_ttl4,3,4.0,0.1,0.025,0.025,0.2,0.0,99.7,59.2,140.4,116.3,1586.0,7.0,1.0,1.4629999999999999,0.45,713.0,14.0,41.476000000000006,0.0,16.0,4.5,4.0,4.0,0.0,123.0,13.0,11.775,0.9,12.0,0.07500000000000001
53,L45_mrs14_rpt4_ttl4,4,4.0,0.4,0.1,0.1,0.4,0.0,159.0,88.6,210.1,185.4,1586.0,7.0,1.5,1.153,0.45,713.0,14.0,42.24,0.0,16.0,4.5,4.0,4.0,0.0,123.0,12.8,11.725,1.3,16.0,0.08125
54,L45_mrs14_rpt4_ttl4,5,4.0,0.6,0.15,0.15,0.8,0.0,250.0,150.1,351.5,315.6,1586.0,7.0,2.2,1.435,0.45,713.0,14.0,39.040000000000006,0.0,16.0,4.5,4.0,4.0,0.0,123.0,12.6,11.2,1.9,20.0,0.095
55,L45_mrs14_rpt4_ttl4,6,4.0,0.0,0.0,0.0,0.7,0.0,205.1,117.8,280.1,250.9,1586.0,7.0,1.6,1.299,0.45,713.0,14.0,34.832,0.0,16.0,4.5,4.0,4.0,0.0,123.0,13.0,11.875,1.9,24.0,0.07916666666666666
56,L45_mrs14_rpt4_ttl4,7,4.0,0.5,0.125,0.125,0.9,0.0,330.1,201.1,422.3,378.2,1586.0,7.0,1.7,1.337,0.45,713.0,14.0,38.540000000000006,0.0,16.0,4.5,4.0,4.0,0.0,123.0,12.9,12.025,2.4,28.0,0.0857142857142857
57,L45_mrs14_rpt4_ttl4,8,4.0,0.2,0.05,0.05,0.6,0.0,280.0,169.5,352.1,315.0,1586.0,7.0,1.7,1.616,0.45,713.0,14.0,35.516,0.0,16.0,4.5,4.0,4.0,0.0,123.0,12.8,11.525,2.6,32.0,0.08125
58,L45_mrs14_rpt4_ttl4,9,4.0,0.2,0.05,0.05,0.4,0.0,216.8,142.2,281.2,255.7,1586.0,7.0,2.2,1.4289999999999998,0.45,713.0,14.0,39.056,0.0,16.0,4.5,4.0,4.0,0.0,123.0,13.0,11.95,2.8,36.0,0.07777777777777778
59,L45_mrs14_rpt4_ttl4,10,4.0,0.3,0.075,0.075,0.6,0.0,317.1,204.6,424.6,401.4,1586.0,7.0,1.2,1.6030000000000004,0.45,713.0,14.0,36.9,0.0,16.0,4.5,4.0,4.0,0.0,123.0,12.9,11.875,3.1,40.0,0.0775
