simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L45_mrs12_rpt6_ttl6,1,6.0,0.4,0.0666666666666664,0.5560000000000002,0.4,0.0,213.6,134.0,282.1,257.5,1586.0,7.0,False,28.419,0.45,713.0,12.0,42.24,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.5,0.4,6.0,0.06666666666666667
L45_mrs12_rpt6_ttl6,2,6.0,0.1,0.0166666666666666,0.5560000000000002,0.3,0.0,167.4,99.1,212.5,195.2,1586.0,7.0,False,28.419,0.45,713.0,12.0,39.29200000000001,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.816666666666666,0.5,12.0,0.041666666666666664
L45_mrs12_rpt6_ttl6,3,6.0,0.2,0.0333333333333332,0.5560000000000002,0.3,0.0,155.2,90.1,210.1,187.5,1586.0,7.0,False,28.419,0.45,713.0,12.0,40.652,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,11.15,0.7,18.0,0.038888888888888896
L45_mrs12_rpt6_ttl6,4,6.0,0.2,0.0333333333333332,0.5560000000000002,0.3,0.0,160.7,106.5,209.5,189.6,1586.0,7.0,False,28.419,0.45,713.0,12.0,40.572,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.75,0.9,24.0,0.03749999999999999
L45_mrs12_rpt6_ttl6,5,6.0,0.4,0.06666666666666651,0.5560000000000002,0.7,0.0,215.6,136.1,281.2,254.7,1586.0,7.0,False,28.419,0.45,713.0,12.0,38.104,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,11.100000000000001,1.3,30.0,0.043333333333333335
L45_mrs12_rpt6_ttl6,6,6.0,0.3,0.04999999999999981,0.5560000000000002,0.7,0.0,334.6,233.6,422.4,382.4,1586.0,7.0,False,28.419,0.45,713.0,12.0,36.72,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.500000000000002,1.6,36.0,0.044444444444444446
L45_mrs12_rpt6_ttl6,7,6.0,0.2,0.0333333333333332,0.5560000000000002,0.8,0.0,392.8,261.1,492.3,446.7,1586.0,7.0,False,28.419,0.45,713.0,12.0,34.2,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.966666666666665,1.8,42.0,0.04285714285714285
L45_mrs12_rpt6_ttl6,8,6.0,0.4,0.06666666666666651,0.5560000000000002,0.6,0.0,279.8,180.8,352.3,320.1,1586.0,7.0,False,28.419,0.45,713.0,12.0,38.632000000000005,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.633333333333333,2.2,48.0,0.04583333333333333
L45_mrs12_rpt6_ttl6,9,6.0,0.2,0.033333333333333305,0.5560000000000002,0.8,0.0,339.2,218.3,423.4,386.7,1586.0,7.0,False,28.419,0.45,713.0,12.0,33.984,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.633333333333333,2.4,54.0,0.04444444444444444
L45_mrs12_rpt6_ttl6,10,6.0,0.6,0.09999999999999971,0.5560000000000002,0.9,0.0,335.4,212.0,423.7,392.8,1586.0,7.0,False,28.419,0.45,713.0,12.0,37.18000000000001,0.0,16.0,4.5,6.0,100.0,0.0,123.0,6.0,10.683333333333334,3.0,60.0,0.049999999999999996
