simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L60_mrs14_rpt6_ttl6,1,6.0,6.0,1.0,0.9999999999999993,6.0,0.0,751.2,647.0,948.6,932.8,1586.0,4.0,0.9,2.831,0.6,951.0,14.0,95.96000000000001,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.316666666666666,6.0,6.0,1.0
L60_mrs14_rpt6_ttl6,2,6.0,6.0,1.0,0.9999999999999993,11.1,0.0,755.3,647.0,950.4,935.1,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,39.628,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.666666666666666,12.0,12.0,1.0
L60_mrs14_rpt6_ttl6,3,6.0,6.0,1.0,0.9999999999999993,14.8,0.0,762.4,656.8,950.8,936.7,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,34.251999999999995,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,12.066666666666666,18.0,18.0,1.0
L60_mrs14_rpt6_ttl6,4,6.0,6.0,1.0,0.9999999999999993,17.6,0.0,758.6,655.6,950.7,935.1,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,33.332,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.666666666666668,24.0,24.0,1.0
L60_mrs14_rpt6_ttl6,5,6.0,6.0,1.0,0.9999999999999993,19.1,0.0,761.9,659.3,950.7,935.1,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,32.56,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,12.0,30.0,30.0,1.0
L60_mrs14_rpt6_ttl6,6,6.0,6.0,1.0,0.9999999999999993,17.3,0.0,758.7,656.3,950.3,932.8,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,35.14,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.4,36.0,36.0,1.0
L60_mrs14_rpt6_ttl6,7,6.0,6.0,1.0,0.9999999999999993,18.1,0.0,755.1,655.2,950.2,933.1,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,33.952000000000005,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.85,42.0,42.0,1.0
L60_mrs14_rpt6_ttl6,8,6.0,6.0,1.0,0.9999999999999993,17.5,0.0,750.6,650.3,949.8,930.5,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,34.936,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.516666666666667,48.0,48.0,1.0
L60_mrs14_rpt6_ttl6,9,6.0,6.0,1.0,0.9999999999999993,17.9,0.0,744.6,643.5,950.3,931.4,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,34.092000000000006,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.500000000000002,54.0,54.0,1.0
L60_mrs14_rpt6_ttl6,10,6.0,6.0,1.0,0.9999999999999993,18.3,0.0,746.9,646.1,949.8,932.3,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,34.524,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.433333333333334,60.0,60.0,1.0
L60_mrs14_rpt6_ttl6,11,6.0,6.0,1.0,0.9999999999999993,17.6,0.0,749.7,647.5,950.3,933.0,1586.0,4.0,0.0,2.831,0.6,951.0,14.0,34.391999999999996,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.0,11.45,66.0,66.0,1.0
