latency_factor,vSDN_size,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_runtime,max_length,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp
0.1,2,13.8,0.40588235294117603,0.40588235294117603,0.0,62.9,6.9,154.1,97.0,1586.0,24.0,0.40499999999999997,158.0,0.001,16.0,34.0,34.0,1.0,123.0,2.0
0.1,3,13.6,0.21935483870967704,0.21935483870967704,0.0,76.0,5.2,155.7,76.2,1586.0,24.0,0.376,158.0,0.001,16.0,62.0,62.0,1.0,123.0,3.0
0.1,4,4.2,0.042,0.041999999999999905,0.0,91.2,4.1,154.7,55.4,1586.0,24.0,0.35500000000000004,158.0,0.006,16.0,100.0,100.0,0.8264462809917352,123.0,4.0
0.1,5,0.5,0.005,0.005,0.0,51.0,-0.5,78.0,-0.5,1586.0,24.0,0.386,158.0,0.009999999999999998,16.0,100.0,100.0,0.39682539682539597,123.0,5.0
0.1,6,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.388,158.0,0.009999999999999998,16.0,100.0,100.0,0.187617260787992,123.0,6.0
0.1,7,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.35100000000000003,158.0,0.011,16.0,100.0,100.0,0.09017132551848502,123.0,7.0
0.1,8,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.382,158.0,0.009999999999999998,16.0,100.0,100.0,0.04504504504504501,123.0,8.0
0.1,9,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.402,158.0,0.013000000000000001,16.0,100.0,100.0,0.023860653781913,123.0,9.0
0.1,10,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.35,158.0,0.011,16.0,100.0,100.0,0.013351134846461003,123.0,10.0
0.1,11,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.465,158.0,0.018000000000000002,16.0,100.0,100.0,0.007882084023015002,123.0,11.0
0.1,12,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4579999999999999,158.0,0.012999999999999998,16.0,100.0,100.0,0.0049446202531640004,123.0,12.0
0.1,13,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.438,158.0,0.013999999999999999,16.0,100.0,100.0,0.0033337778370440005,123.0,13.0
0.2,2,29.1,0.8558823529411759,0.8558823529411759,0.0,189.8,67.4,315.0,282.7,1586.0,17.0,0.4240000000000001,317.0,0.0,16.0,34.0,34.0,1.0,123.0,2.0
0.2,3,34.3,0.5532258064516127,0.5532258064516127,0.0,178.4,58.4,314.8,281.6,1586.0,17.0,0.492,317.0,0.009999999999999998,16.0,62.0,62.0,1.0,123.0,3.0
0.2,4,24.1,0.24100000000000002,0.24100000000000002,0.0,183.2,45.1,315.0,279.3,1586.0,17.0,0.525,317.0,0.012999999999999998,16.0,100.0,100.0,0.8264462809917352,123.0,4.0
0.2,5,6.6,0.06600000000000002,0.06600000000000002,0.0,192.8,48.7,314.4,278.0,1586.0,17.0,0.442,317.0,0.011999999999999999,16.0,100.0,100.0,0.39682539682539597,123.0,5.0
0.2,6,1.0,0.01,0.01,0.0,127.0,30.1,187.8,149.7,1586.0,17.0,0.40800000000000003,317.0,0.012,16.0,100.0,100.0,0.187617260787992,123.0,6.0
0.2,7,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.43500000000000005,317.0,0.012999999999999998,16.0,100.0,100.0,0.09017132551848502,123.0,7.0
0.2,8,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.429,317.0,0.019,16.0,100.0,100.0,0.04504504504504501,123.0,8.0
0.2,9,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.45700000000000013,317.0,0.026000000000000002,16.0,100.0,100.0,0.023860653781913,123.0,9.0
0.2,10,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.41600000000000004,317.0,0.020999999999999998,16.0,100.0,100.0,0.013351134846461003,123.0,10.0
0.2,11,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.434,317.0,0.023,16.0,100.0,100.0,0.007882084023015002,123.0,11.0
0.2,12,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.382,317.0,0.022,16.0,100.0,100.0,0.0049446202531640004,123.0,12.0
0.2,13,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.41400000000000003,317.0,0.031000000000000007,16.0,100.0,100.0,0.0033337778370440005,123.0,13.0
0.3,2,33.6,0.9882352941176468,0.9882352941176468,0.0,310.3,141.7,470.4,417.3,1586.0,12.0,0.634,475.0,0.009,16.0,34.0,34.0,1.0,123.0,2.0
0.3,3,49.8,0.8032258064516122,0.8032258064516122,0.0,299.8,136.0,472.7,428.9,1586.0,12.0,2.094,475.0,0.012,16.0,62.0,62.0,1.0,123.0,3.0
0.3,4,51.8,0.5180000000000001,0.5180000000000001,0.0,308.7,151.1,471.9,434.5,1586.0,12.0,2.335,475.0,0.028999999999999998,16.0,100.0,100.0,0.8264462809917352,123.0,4.0
0.3,5,28.3,0.28300000000000003,0.28300000000000003,0.0,305.7,137.2,473.7,436.0,1586.0,12.0,1.8030000000000002,475.0,0.03200000000000001,16.0,100.0,100.0,0.39682539682539597,123.0,5.0
0.3,6,15.1,0.15099999999999997,0.15099999999999997,0.0,310.8,140.3,472.9,430.1,1586.0,12.0,1.4680000000000004,475.0,0.039,16.0,100.0,100.0,0.187617260787992,123.0,6.0
0.3,7,7.0,0.07,0.07,0.0,314.8,139.7,465.6,403.2,1586.0,12.0,1.184,475.0,0.040999999999999995,16.0,100.0,100.0,0.09017132551848502,123.0,7.0
0.3,8,2.8,0.027999999999999997,0.027999999999999997,0.0,290.5,125.8,415.3,364.0,1586.0,12.0,0.9199999999999999,475.0,0.049,16.0,100.0,100.0,0.04504504504504501,123.0,8.0
0.3,9,0.8,0.008,0.008,0.0,204.3,74.3,282.4,247.6,1586.0,12.0,0.726,475.0,0.051000000000000004,16.0,100.0,100.0,0.023860653781913,123.0,9.0
0.3,10,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,12.0,0.674,475.0,0.05700000000000001,16.0,100.0,100.0,0.013351134846461003,123.0,10.0
0.3,11,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,12.0,0.5910000000000001,475.0,0.07799999999999999,16.0,100.0,100.0,0.007882084023015002,123.0,11.0
0.3,12,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,12.0,0.528,475.0,0.06900000000000002,16.0,100.0,100.0,0.0049446202531640004,123.0,12.0
0.3,13,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,12.0,0.5109999999999999,475.0,0.07400000000000002,16.0,100.0,100.0,0.0033337778370440005,123.0,13.0
0.4,2,32.9,0.9676470588235292,0.9676470588235292,0.0,461.4,293.8,630.3,594.0,1586.0,8.0,1.8109999999999995,634.0,0.011999999999999999,16.0,34.0,34.0,1.0,123.0,2.0
0.4,3,53.1,0.8564516129032255,0.8564516129032255,0.0,428.5,273.5,631.5,603.2,1586.0,8.0,4.5409999999999995,634.0,0.037,16.0,62.0,62.0,1.0,123.0,3.0
