latency_factor,vSDN_size,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_runtime,max_length,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp
0.1,2,12.9,0.3794117647058819,0.0155,0.0,59.7,5.1,150.9,86.1,1586.0,24.0,0.4750000000000001,158.0,0.0,16.0,34.0,200.0,1.0,123.0,7.0
0.1,3,11.6,0.18709677419354803,0.0155,0.0,78.3,4.4,154.5,55.4,1586.0,24.0,0.4750000000000001,158.0,0.0,16.0,62.0,200.0,1.0,123.0,7.0
0.1,4,3.0,0.030000000000000006,0.0155,0.0,94.5,0.7,150.2,8.9,1586.0,24.0,0.4750000000000001,158.0,0.009,16.0,100.0,200.0,0.8264462809917352,123.0,7.0
0.1,5,0.1,0.001,0.0155,0.0,9.4,-0.9,14.8,-0.9,1586.0,24.0,0.4750000000000001,158.0,0.011,16.0,100.0,200.0,0.39682539682539597,123.0,7.0
0.1,6,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.011,16.0,100.0,200.0,0.187617260787992,123.0,7.0
0.1,7,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.009999999999999998,16.0,100.0,200.0,0.09017132551848502,123.0,7.0
0.1,8,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.009999999999999998,16.0,100.0,200.0,0.04504504504504501,123.0,7.0
0.1,9,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.011,16.0,100.0,200.0,0.023860653781913,123.0,7.0
0.1,10,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.009999999999999998,16.0,100.0,200.0,0.013351134846461003,123.0,7.0
0.1,11,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.009999999999999998,16.0,100.0,200.0,0.007882084023015002,123.0,7.0
0.1,12,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.013000000000000001,16.0,100.0,200.0,0.0049446202531640004,123.0,7.0
0.1,13,0.0,0.0,0.0155,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.4750000000000001,158.0,0.015000000000000003,16.0,100.0,200.0,0.0033337778370440005,123.0,7.0
0.2,2,26.1,0.7676470588235288,0.05899999999999998,0.0,184.3,65.7,313.6,282.1,1586.0,17.0,0.5269999999999999,317.0,0.001,16.0,34.0,200.0,1.0,123.0,7.0
0.2,3,30.2,0.48709677419354785,0.05899999999999998,0.0,186.8,63.1,314.3,281.5,1586.0,17.0,0.5269999999999999,317.0,0.009999999999999998,16.0,62.0,200.0,1.0,123.0,7.0
0.2,4,20.9,0.209,0.05899999999999998,0.0,185.0,48.4,314.2,276.8,1586.0,17.0,0.5269999999999999,317.0,0.011999999999999999,16.0,100.0,200.0,0.8264462809917352,123.0,7.0
0.2,5,5.8,0.05800000000000001,0.05899999999999998,0.0,176.8,48.0,281.4,250.4,1586.0,17.0,0.5269999999999999,317.0,0.011,16.0,100.0,200.0,0.39682539682539597,123.0,7.0
0.2,6,0.7,0.007000000000000001,0.05899999999999998,0.0,81.3,20.2,124.8,97.2,1586.0,17.0,0.5269999999999999,317.0,0.011999999999999999,16.0,100.0,200.0,0.187617260787992,123.0,7.0
0.2,7,0.0,0.0,0.05899999999999998,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.5269999999999999,317.0,0.013000000000000001,16.0,100.0,200.0,0.09017132551848502,123.0,7.0
0.2,8,0.0,0.0,0.05899999999999998,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.5269999999999999,317.0,0.017999999999999995,16.0,100.0,200.0,0.04504504504504501,123.0,7.0
0.2,9,0.0,0.0,0.05899999999999998,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.5269999999999999,317.0,0.019999999999999997,16.0,100.0,200.0,0.023860653781913,123.0,7.0
0.2,10,0.0,0.0,0.05899999999999998,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.5269999999999999,317.0,0.020999999999999998,16.0,100.0,200.0,0.013351134846461003,123.0,7.0
0.2,11,0.0,0.0,0.05899999999999998,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.5269999999999999,317.0,0.019999999999999997,16.0,100.0,200.0,0.007882084023015002,123.0,7.0
0.2,12,0.0,0.0,0.05899999999999998,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.5269999999999999,317.0,0.022,16.0,100.0,200.0,0.0049446202531640004,123.0,7.0
0.2,13,0.0,0.0,0.05899999999999998,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,17.0,0.5269999999999999,317.0,0.027000000000000003,16.0,100.0,200.0,0.0033337778370440005,123.0,7.0
0.3,2,30.9,0.9088235294117641,0.1725,0.0,302.3,138.2,472.6,417.2,1586.0,12.0,1.9689999999999999,475.0,0.009999999999999998,16.0,34.0,200.0,1.0,123.0,7.0
0.3,3,44.9,0.7241935483870963,0.1725,0.0,299.8,132.7,473.8,438.0,1586.0,12.0,1.9689999999999999,475.0,0.013000000000000001,16.0,62.0,200.0,1.0,123.0,7.0
0.3,4,45.4,0.454,0.1725,0.0,303.7,134.5,473.9,434.8,1586.0,12.0,1.9689999999999999,475.0,0.024999999999999998,16.0,100.0,200.0,0.8264462809917352,123.0,7.0
0.3,5,25.9,0.259,0.1725,0.0,305.8,132.0,471.0,425.3,1586.0,12.0,1.9689999999999999,475.0,0.029999999999999992,16.0,100.0,200.0,0.39682539682539597,123.0,7.0
