latency_factor,vSDN_size,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_runtime,max_length,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp
0.1,2,17.9,0.41627906976744133,,0.0,179.5,0.0,421.3,0.0,4759.0,26.0,0.7270000000000001,475.0,0.0,16.0,43.0,0.0,1.0,123.0,0.0
0.1,3,20.6,0.2314606741573027,,0.0,230.2,0.0,424.0,0.0,4759.0,26.0,0.7270000000000001,475.0,0.001,16.0,89.0,0.0,1.0,123.0,0.0
0.1,4,3.8,0.038,,0.0,268.2,0.0,422.6,0.0,4759.0,26.0,0.7270000000000001,475.0,0.006,16.0,100.0,0.0,0.49504950495049516,123.0,0.0
0.1,5,0.3,0.003,,0.0,86.9,-0.7,126.5,-0.7,4759.0,26.0,0.7270000000000001,475.0,0.009,16.0,100.0,0.0,0.20491803278688497,123.0,0.0
0.1,6,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.009999999999999998,16.0,100.0,0.0,0.08326394671107402,123.0,0.0
0.1,7,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.009999999999999998,16.0,100.0,0.0,0.034542314335060005,123.0,0.0
0.1,8,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.009999999999999998,16.0,100.0,0.0,0.014889815366289003,123.0,0.0
0.1,9,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.009999999999999998,16.0,100.0,0.0,0.006741270055278,123.0,0.0
0.1,10,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.009999999999999998,16.0,100.0,0.0,0.003235198964736,123.0,0.0
0.1,11,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.011,16.0,100.0,0.0,0.0016611847569680004,123.0,0.0
0.1,12,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.012,16.0,100.0,0.0,0.0009226113591910001,123.0,0.0
0.1,13,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.7270000000000001,475.0,0.017999999999999995,16.0,100.0,0.0,0.0005606229642370001,123.0,0.0
0.2,2,33.9,0.7883720930232554,,0.0,528.9,139.1,929.5,786.2,4759.0,20.0,1.02,951.0,0.001,16.0,43.0,0.0,1.0,123.0,0.0
0.2,3,39.8,0.4471910112359548,,0.0,529.1,110.3,933.7,793.0,4759.0,20.0,1.02,951.0,0.009999999999999998,16.0,89.0,0.0,1.0,123.0,0.0
0.2,4,15.7,0.157,,0.0,560.1,98.2,929.9,793.0,4759.0,20.0,1.02,951.0,0.011,16.0,100.0,0.0,0.49504950495049516,123.0,0.0
0.2,5,4.2,0.042,,0.0,552.8,96.6,926.2,714.5,4759.0,20.0,1.02,951.0,0.009999999999999998,16.0,100.0,0.0,0.20491803278688497,123.0,0.0
0.2,6,0.8,0.008,,0.0,387.8,67.3,616.8,408.1,4759.0,20.0,1.02,951.0,0.013999999999999999,16.0,100.0,0.0,0.08326394671107402,123.0,0.0
0.2,7,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,20.0,1.02,951.0,0.017999999999999995,16.0,100.0,0.0,0.034542314335060005,123.0,0.0
0.2,8,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,20.0,1.02,951.0,0.019999999999999997,16.0,100.0,0.0,0.014889815366289003,123.0,0.0
0.2,9,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,20.0,1.02,951.0,0.019999999999999997,16.0,100.0,0.0,0.006741270055278,123.0,0.0
0.2,10,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,20.0,1.02,951.0,0.024,16.0,100.0,0.0,0.003235198964736,123.0,0.0
0.2,11,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,20.0,1.02,951.0,0.027000000000000003,16.0,100.0,0.0,0.0016611847569680004,123.0,0.0
0.2,12,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,20.0,1.02,951.0,0.030000000000000006,16.0,100.0,0.0,0.0009226113591910001,123.0,0.0
0.2,13,0.0,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,20.0,1.02,951.0,0.031000000000000007,16.0,100.0,0.0,0.0005606229642370001,123.0,0.0
