latency_factor,vSDN_size,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_runtime,max_length,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp
0.1,2,16.6,0.38604651162790654,0.01,0.0,170.4,0.0,415.3,0.0,4759.0,26.0,0.36900000000000005,475.0,0.0,16.0,43.0,100.0,1.0,123.0,7.0
0.1,3,19.3,0.2168539325842691,0.01,0.0,230.7,0.0,424.0,0.0,4759.0,26.0,0.36900000000000005,475.0,0.0,16.0,89.0,100.0,1.0,123.0,7.0
0.1,4,3.1,0.031,0.01,0.0,260.4,0.0,417.9,0.0,4759.0,26.0,0.36900000000000005,475.0,0.001,16.0,100.0,100.0,0.49504950495049516,123.0,7.0
0.1,5,0.1,0.001,0.01,0.0,28.3,-0.9,41.5,-0.9,4759.0,26.0,0.36900000000000005,475.0,0.009,16.0,100.0,100.0,0.20491803278688497,123.0,7.0
0.1,6,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.009999999999999998,16.0,100.0,100.0,0.08326394671107402,123.0,7.0
0.1,7,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.009999999999999998,16.0,100.0,100.0,0.034542314335060005,123.0,7.0
0.1,8,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.009999999999999998,16.0,100.0,100.0,0.014889815366289003,123.0,7.0
0.1,9,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.009999999999999998,16.0,100.0,100.0,0.006741270055278,123.0,7.0
0.1,10,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.011,16.0,100.0,100.0,0.003235198964736,123.0,7.0
0.1,11,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.011,16.0,100.0,100.0,0.0016611847569680004,123.0,7.0
0.1,12,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.011,16.0,100.0,100.0,0.0009226113591910001,123.0,7.0
0.1,13,0.0,0.0,0.01,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.36900000000000005,475.0,0.013000000000000001,16.0,100.0,100.0,0.0005606229642370001,123.0,7.0
0.2,2,33.0,0.7674418604651159,0.027999999999999997,0.0,533.3,179.2,913.6,810.7,4759.0,19.0,0.40700000000000003,951.0,0.001,16.0,43.0,100.0,1.0,123.0,7.0
0.2,3,41.2,0.46292134831460635,0.027999999999999997,0.0,543.7,132.8,922.4,817.0,4759.0,19.0,0.40700000000000003,951.0,0.009999999999999998,16.0,89.0,100.0,1.0,123.0,7.0
0.2,4,14.8,0.14800000000000005,0.027999999999999997,0.0,594.1,152.8,929.0,805.5,4759.0,19.0,0.40700000000000003,951.0,0.011,16.0,100.0,100.0,0.49504950495049516,123.0,7.0
0.2,5,3.1,0.030999999999999993,0.027999999999999997,0.0,602.9,147.4,918.9,717.3,4759.0,19.0,0.40700000000000003,951.0,0.011,16.0,100.0,100.0,0.20491803278688497,123.0,7.0
0.2,6,0.2,0.002,0.027999999999999997,0.0,121.4,34.7,183.5,147.4,4759.0,19.0,0.40700000000000003,951.0,0.013000000000000001,16.0,100.0,100.0,0.08326394671107402,123.0,7.0
0.2,7,0.0,0.0,0.027999999999999997,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,19.0,0.40700000000000003,951.0,0.018,16.0,100.0,100.0,0.034542314335060005,123.0,7.0
0.2,8,0.0,0.0,0.027999999999999997,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,19.0,0.40700000000000003,951.0,0.019999999999999997,16.0,100.0,100.0,0.014889815366289003,123.0,7.0
0.2,9,0.0,0.0,0.027999999999999997,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,19.0,0.40700000000000003,951.0,0.019999999999999997,16.0,100.0,100.0,0.006741270055278,123.0,7.0
0.2,10,0.0,0.0,0.027999999999999997,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,19.0,0.40700000000000003,951.0,0.024,16.0,100.0,100.0,0.003235198964736,123.0,7.0
0.2,11,0.0,0.0,0.027999999999999997,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,19.0,0.40700000000000003,951.0,0.029000000000000005,16.0,100.0,100.0,0.0016611847569680004,123.0,7.0
0.2,12,0.0,0.0,0.027999999999999997,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,19.0,0.40700000000000003,951.0,0.03200000000000001,16.0,100.0,100.0,0.0009226113591910001,123.0,7.0
0.2,13,0.0,0.0,0.027999999999999997,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,19.0,0.40700000000000003,951.0,0.03700000000000001,16.0,100.0,100.0,0.0005606229642370001,123.0,7.0
0.3,2,39.0,0.906976744186046,0.312,0.0,1041.9,595.3,1422.5,1366.7,4759.0,11.0,2.334,1427.0,0.011,16.0,43.0,100.0,1.0,123.0,7.0
