acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
20,0.46511627906976705,0.01,0,161,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.0,16,43,100,1.0,123,7,2
18,0.202247191011235,0.01,0,229,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.0,16,89,100,1.0,123,7,3
4,0.04,0.01,0,253,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.0,16,100,100,0.49504950495049505,123,7,4
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.20491803278688503,123,7,5
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.08326394671107401,123,7,6
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.034542314335060005,123,7,7
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.014889815366289002,123,7,8
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.006741270055278001,123,7,9
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.003235198964736,123,7,10
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.0016611847569680002,123,7,11
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,7,12
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.43,ilp,0.1,475,26_usa,0.01,16,100,100,0.000560622964237,123,7,13
19,0.441860465116279,0.01,0,169,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.0,16,43,100,1.0,123,7,2
23,0.258426966292134,0.01,0,234,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.0,16,89,100,1.0,123,7,3
4,0.04,0.01,0,272,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.0,16,100,100,0.49504950495049505,123,7,4
1,0.01,0.01,0,292,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.20491803278688503,123,7,5
