,simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
200,L60_mrs14_rpt8_ttl8,1,8.0,7.5,0.9375,0.9375,7.5,0.0,2367.9,2028.1,2849.0,2839.6,4759.0,4.0,2.9,6.919999999999999,0.6,2855.0,14.0,123.46153846153848,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.6125,7.5,8.0,0.9375
201,L60_mrs14_rpt8_ttl8,2,8.0,7.0,0.875,0.875,13.5,0.0,2376.0,2065.3,2850.3,2839.6,4759.0,4.0,0.9,3.761,0.6,2855.0,14.0,49.130769230769225,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.875,14.5,16.0,0.90625
202,L60_mrs14_rpt8_ttl8,3,8.0,6.6,0.825,0.775,18.0,0.0,2372.2,2050.2,2851.3,2839.6,4759.0,4.0,0.5,2.8129999999999997,0.6,2855.0,14.0,43.988461538461536,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.7,21.1,24.0,0.8791666666666667
203,L60_mrs14_rpt8_ttl8,4,8.0,6.6,0.825,0.8125,21.9,0.0,2371.1,2051.4,2851.9,2840.2,4759.0,4.0,0.7,2.6109999999999998,0.6,2855.0,14.0,42.82692307692307,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,12.0625,27.7,32.0,0.865625
204,L60_mrs14_rpt8_ttl8,5,8.0,7.2,0.9,0.8625,25.0,0.0,2361.6,2038.1,2852.0,2840.2,4759.0,4.0,0.6,1.796,0.6,2855.0,14.0,38.684615384615384,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.8375,34.9,40.0,0.8724999999999999
205,L60_mrs14_rpt8_ttl8,6,8.0,7.3,0.9125,0.8625,26.5,0.0,2371.5,2056.0,2852.0,2840.2,4759.0,4.0,0.7,1.906,0.6,2855.0,14.0,39.630769230769225,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.8,42.2,48.0,0.8791666666666668
206,L60_mrs14_rpt8_ttl8,7,8.0,6.3,0.7875,0.7875,26.3,0.0,2365.0,2046.7,2852.0,2840.2,4759.0,4.0,0.4,2.112,0.6,2855.0,14.0,39.669230769230765,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.8875,48.5,56.0,0.8660714285714285
207,L60_mrs14_rpt8_ttl8,8,8.0,6.3,0.7875,0.75,26.8,0.0,2363.6,2042.0,2852.3,2840.2,4759.0,4.0,0.4,1.7469999999999999,0.6,2855.0,14.0,36.42307692307692,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.625,54.8,64.0,0.85625
208,L60_mrs14_rpt8_ttl8,9,8.0,7.2,0.9,0.825,28.2,0.0,2364.5,2051.7,2853.2,2841.4,4759.0,4.0,0.1,1.3889999999999998,0.6,2855.0,14.0,36.184615384615384,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.9125,62.0,72.0,0.861111111111111
209,L60_mrs14_rpt8_ttl8,10,8.0,7.0,0.875,0.825,28.0,0.0,2363.3,2050.3,2852.9,2840.8,4759.0,4.0,0.3,1.548,0.6,2855.0,14.0,36.534615384615385,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,12.075,69.0,80.0,0.8625
210,L60_mrs14_rpt8_ttl8,11,8.0,6.6,0.825,0.8125,26.5,0.0,2365.9,2061.6,2853.1,2840.8,4759.0,4.0,0.0,1.552,0.6,2855.0,14.0,38.20769230769231,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.875,75.6,88.0,0.859090909090909
211,L60_mrs14_rpt8_ttl8,12,8.0,6.1,0.7625,0.7625,26.7,0.0,2373.2,2064.7,2853.5,2840.2,4759.0,4.0,0.0,1.543,0.6,2855.0,14.0,38.69615384615385,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,12.15,81.7,96.0,0.8510416666666666
212,L60_mrs14_rpt8_ttl8,13,8.0,6.4,0.8,0.75,24.1,0.0,2376.5,2066.2,2853.6,2841.0,4759.0,4.0,0.0,1.6600000000000001,0.6,2855.0,14.0,39.95384615384616,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,12.05,88.1,104.0,0.8471153846153845
213,L60_mrs14_rpt8_ttl8,14,8.0,6.6,0.825,0.7,24.3,0.0,2387.6,2077.5,2853.3,2842.2,4759.0,4.0,0.2,1.866,0.6,2855.0,14.0,37.55,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.9125,94.7,112.0,0.8455357142857143
214,L60_mrs14_rpt8_ttl8,15,8.0,6.9,0.8625,0.825,25.1,0.0,2381.2,2075.6,2853.7,2842.8,4759.0,4.0,0.2,1.61,0.6,2855.0,14.0,35.780769230769224,0.0,16.0,4.5,8.0,8.0,0.0,123.0,12.9,11.85,101.6,120.0,0.8466666666666667
215,L60_mrs14_rpt8_ttl8,16,8.0,6.4,0.8,0.775,26.1,0.0,2375.1,2069.7,2854.0,2842.8,4759.0,4.0,0.3,1.685,0.6,2855.0,14.0,37.47692307692307,0.0,16.0,4.5,8.0,8.0,0.0,123.0,12.9,11.625,108.0,128.0,0.84375
216,L60_mrs14_rpt8_ttl8,17,8.0,6.8,0.85,0.775,27.2,0.0,2361.2,2054.6,2854.3,2842.8,4759.0,4.0,0.2,1.7670000000000001,0.6,2855.0,14.0,37.56153846153846,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.6375,114.8,136.0,0.8441176470588235
217,L60_mrs14_rpt8_ttl8,18,8.0,6.2,0.775,0.775,25.9,0.0,2353.0,2047.9,2854.1,2842.8,4759.0,4.0,0.0,1.8340000000000003,0.6,2855.0,14.0,39.073076923076925,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.9125,121.0,144.0,0.8402777777777777
218,L60_mrs14_rpt8_ttl8,19,8.0,6.8,0.85,0.8125,25.2,0.0,2357.7,2044.9,2854.0,2842.8,4759.0,4.0,0.5,1.848,0.6,2855.0,14.0,38.24999999999999,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.8125,127.8,152.0,0.8407894736842106
219,L60_mrs14_rpt8_ttl8,20,8.0,6.4,0.8,0.8,25.0,0.0,2364.6,2046.8,2853.8,2843.4,4759.0,4.0,0.0,1.8199999999999998,0.6,2855.0,14.0,35.769230769230774,0.0,16.0,4.5,8.0,8.0,0.0,123.0,12.9,11.875,134.2,160.0,0.8387500000000001
220,L60_mrs14_rpt8_ttl8,21,8.0,6.7,0.8375,0.7625,25.0,0.0,2376.6,2061.5,2852.3,2842.2,4759.0,4.0,0.2,1.8519999999999996,0.6,2855.0,14.0,38.330769230769235,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.85,140.9,168.0,0.8386904761904761
221,L60_mrs14_rpt8_ttl8,22,8.0,6.4,0.8,0.75,24.3,0.0,2379.0,2063.3,2853.2,2840.8,4759.0,4.0,0.2,2.1009999999999995,0.6,2855.0,14.0,39.88076923076923,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.55,147.3,176.0,0.8369318181818182
222,L60_mrs14_rpt8_ttl8,23,8.0,6.3,0.7875,0.7625,25.1,0.0,2381.6,2068.3,2853.0,2840.2,4759.0,4.0,0.4,1.693,0.6,2855.0,14.0,37.215384615384615,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.975,153.6,184.0,0.8347826086956521
223,L60_mrs14_rpt8_ttl8,24,8.0,6.1,0.7625,0.7375,25.4,0.0,2376.0,2057.2,2853.1,2839.6,4759.0,4.0,0.0,2.025,0.6,2855.0,14.0,38.03846153846153,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.9625,159.7,192.0,0.8317708333333332
224,L60_mrs14_rpt8_ttl8,25,8.0,6.4,0.8,0.7375,25.4,0.0,2369.4,2044.6,2853.0,2839.6,4759.0,4.0,0.2,1.6939999999999997,0.6,2855.0,14.0,37.31923076923077,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.775,166.1,200.0,0.8305
225,L60_mrs14_rpt8_ttl8,26,8.0,6.1,0.7625,0.7375,23.3,0.0,2373.0,2042.7,2852.4,2840.9,4759.0,4.0,0.6,1.811,0.6,2855.0,14.0,38.18076923076923,0.0,16.0,4.5,8.0,8.0,0.0,123.0,12.9,11.8125,172.2,208.0,0.8278846153846153
226,L60_mrs14_rpt8_ttl8,27,8.0,6.0,0.75,0.7,23.6,0.0,2382.4,2044.9,2853.4,2841.6,4759.0,4.0,0.3,1.791,0.6,2855.0,14.0,38.53846153846154,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,12.15,178.2,216.0,0.825
227,L60_mrs14_rpt8_ttl8,28,8.0,6.5,0.8125,0.8125,23.8,0.0,2385.5,2054.6,2853.4,2841.6,4759.0,4.0,0.0,1.6740000000000002,0.6,2855.0,14.0,38.965384615384615,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.7125,184.7,224.0,0.8245535714285713
228,L60_mrs14_rpt8_ttl8,29,8.0,7.0,0.875,0.8375,25.4,0.0,2386.5,2054.3,2853.1,2841.6,4759.0,4.0,0.0,1.3820000000000001,0.6,2855.0,14.0,37.76923076923077,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,12.2625,191.7,232.0,0.826293103448276
229,L60_mrs14_rpt8_ttl8,30,8.0,6.2,0.775,0.775,24.9,0.0,2386.4,2049.8,2853.7,2842.2,4759.0,4.0,0.0,1.395,0.6,2855.0,14.0,36.830769230769235,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.7625,197.9,240.0,0.8245833333333333
230,L60_mrs14_rpt8_ttl8,31,8.0,6.6,0.825,0.8,24.9,0.0,2381.6,2049.1,2853.2,2842.2,4759.0,4.0,0.3,1.3039999999999998,0.6,2855.0,14.0,37.18076923076923,0.0,16.0,4.5,8.0,8.0,0.0,123.0,12.9,11.625,204.5,248.0,0.8245967741935484
231,L60_mrs14_rpt8_ttl8,32,8.0,6.7,0.8375,0.8125,25.4,0.0,2381.3,2047.7,2853.2,2841.6,4759.0,4.0,0.0,2.553,0.6,2855.0,14.0,37.361538461538466,0.0,16.0,4.5,8.0,8.0,0.0,123.0,12.9,11.875,211.2,256.0,0.825
232,L60_mrs14_rpt8_ttl8,33,8.0,6.9,0.8625,0.8375,26.3,0.0,2374.1,2043.3,2852.2,2841.6,4759.0,4.0,0.0,1.4449999999999998,0.6,2855.0,14.0,33.23461538461538,0.0,16.0,4.5,8.0,8.0,0.0,123.0,12.9,11.7875,218.1,264.0,0.8261363636363637
233,L60_mrs14_rpt8_ttl8,34,8.0,7.1,0.8875,0.85,27.1,0.0,2384.8,2060.8,2852.8,2841.6,4759.0,4.0,0.2,1.254,0.6,2855.0,14.0,34.176923076923075,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.8875,225.2,272.0,0.8279411764705882
234,L60_mrs14_rpt8_ttl8,35,8.0,6.9,0.8625,0.8125,28.2,0.0,2382.7,2066.8,2852.5,2841.6,4759.0,4.0,0.0,1.494,0.6,2855.0,14.0,33.76153846153846,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.7875,232.1,280.0,0.8289285714285715
235,L60_mrs14_rpt8_ttl8,36,8.0,6.8,0.85,0.8,27.2,0.0,2388.0,2073.4,2852.6,2841.6,4759.0,4.0,0.0,1.2730000000000001,0.6,2855.0,14.0,35.01538461538462,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,12.1,238.9,288.0,0.8295138888888889
236,L60_mrs14_rpt8_ttl8,37,8.0,6.4,0.8,0.75,27.3,0.0,2388.3,2075.4,2852.0,2841.0,4759.0,4.0,0.0,1.25,0.6,2855.0,14.0,37.123076923076916,0.0,16.0,4.5,8.0,8.0,0.0,123.0,13.0,11.775,245.3,296.0,0.8287162162162162
