simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L50_mrs14_rpt8_ttl8,1,8.0,2.3,0.2875,0.698,2.3,0.0,1767.8,1439.4,2134.9,2094.7,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,80.73076923076924,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.6125,2.3,8.0,0.2875
L50_mrs14_rpt8_ttl8,2,8.0,3.0,0.375,0.698,5.1,0.0,1987.2,1604.1,2374.6,2347.8,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,48.684615384615384,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.875,5.3,16.0,0.33125
L50_mrs14_rpt8_ttl8,3,8.0,1.8,0.225,0.698,6.1,0.0,1989.2,1593.3,2376.4,2347.8,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,35.79615384615384,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.7,7.1,24.0,0.29583333333333334
L50_mrs14_rpt8_ttl8,4,8.0,2.3,0.2875,0.698,7.6,0.0,1989.3,1595.0,2376.6,2353.2,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,35.25769230769231,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,12.0625,9.4,32.0,0.29375
L50_mrs14_rpt8_ttl8,5,8.0,2.9,0.3625,0.698,9.0,0.0,1980.4,1580.8,2375.9,2357.0,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,34.56923076923077,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.8375,12.3,40.0,0.3075
L50_mrs14_rpt8_ttl8,6,8.0,2.3,0.2875,0.698,9.4,0.0,1991.2,1609.7,2375.0,2357.0,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,34.24230769230769,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.8,14.6,48.0,0.3041666666666667
L50_mrs14_rpt8_ttl8,7,8.0,1.5,0.1875,0.698,8.7,0.0,1983.8,1593.5,2375.5,2352.7,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,34.246153846153845,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.8875,16.1,56.0,0.2875
L50_mrs14_rpt8_ttl8,8,8.0,2.0,0.25,0.698,8.5,0.0,1986.0,1574.6,2376.4,2358.5,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,33.730769230769226,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.625,18.1,64.0,0.2828125
L50_mrs14_rpt8_ttl8,9,8.0,2.2,0.275,0.698,9.0,0.0,1986.6,1570.8,2376.4,2359.1,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,32.388461538461534,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.9125,20.3,72.0,0.28194444444444444
L50_mrs14_rpt8_ttl8,10,8.0,2.0,0.25,0.698,8.2,0.0,1990.0,1583.8,2376.0,2354.6,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,31.45,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,12.075,22.3,80.0,0.27874999999999994
L50_mrs14_rpt8_ttl8,11,8.0,1.8,0.225,0.698,7.4,0.0,1989.5,1599.3,2375.4,2349.3,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,37.41538461538461,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.875,24.1,88.0,0.27386363636363636
L50_mrs14_rpt8_ttl8,12,8.0,2.1,0.2625,0.698,7.7,0.0,2005.7,1629.1,2375.6,2359.1,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,33.90769230769231,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,12.15,26.2,96.0,0.27291666666666664
L50_mrs14_rpt8_ttl8,13,8.0,2.1,0.2625,0.698,7.7,0.0,1995.0,1607.7,2375.3,2353.1,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,34.71153846153847,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,12.05,28.3,104.0,0.2721153846153846
L50_mrs14_rpt8_ttl8,14,8.0,2.1,0.2625,0.698,7.9,0.0,2000.2,1619.8,2376.3,2352.1,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,33.31923076923077,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.9125,30.4,112.0,0.27142857142857146
L50_mrs14_rpt8_ttl8,15,8.0,2.5,0.3125,0.698,8.5,0.0,1995.8,1617.7,2374.8,2350.6,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,33.77692307692307,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.85,32.9,120.0,0.27416666666666667
L50_mrs14_rpt8_ttl8,16,8.0,2.5,0.3125,0.698,8.9,0.0,1975.1,1609.0,2375.5,2355.5,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,31.988461538461536,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.625,35.4,128.0,0.2765625
L50_mrs14_rpt8_ttl8,17,8.0,2.1,0.2625,0.698,8.7,0.0,1969.9,1615.1,2375.7,2355.5,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,30.99230769230769,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.6375,37.5,136.0,0.2757352941176471
L50_mrs14_rpt8_ttl8,18,8.0,2.0,0.25,0.698,8.8,0.0,1974.2,1624.5,2374.8,2357.0,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,32.37692307692308,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.9125,39.5,144.0,0.2743055555555556
L50_mrs14_rpt8_ttl8,19,8.0,2.2,0.275,0.698,8.2,0.0,1972.7,1610.0,2374.7,2351.6,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,37.050000000000004,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.8125,41.7,152.0,0.2743421052631579
L50_mrs14_rpt8_ttl8,20,8.0,2.0,0.25,0.698,8.7,0.0,1979.9,1625.9,2375.8,2355.5,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,33.68846153846154,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.875,43.7,160.0,0.273125
L50_mrs14_rpt8_ttl8,21,8.0,2.6,0.325,0.698,8.4,0.0,2002.3,1630.4,2375.2,2350.6,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,36.588461538461544,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.85,46.3,168.0,0.2755952380952381
L50_mrs14_rpt8_ttl8,22,8.0,2.9,0.3625,0.698,9.1,0.0,2014.8,1637.4,2377.1,2356.3,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,34.45769230769231,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.55,49.2,176.0,0.2795454545454546
L50_mrs14_rpt8_ttl8,23,8.0,2.1,0.2625,0.698,9.0,0.0,2014.3,1637.5,2377.0,2353.8,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,32.176923076923075,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.975,51.3,184.0,0.278804347826087
L50_mrs14_rpt8_ttl8,24,8.0,1.6,0.2,0.698,8.3,0.0,2016.9,1618.6,2376.8,2355.8,4759.0,4.0,False,19.273999999999994,0.5,2379.0,14.0,31.78076923076923,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.9625,52.9,192.0,0.2755208333333333
