simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L50_mrs12_rpt6_ttl6,1,6.0,2.6,0.43333333333333296,0.4333332999999996,2.6,0.0,1988.9,1673.8,2371.2,2344.1,4759.0,4.0,2.7,2.368,0.5,2379.0,12.0,80.73076923076924,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.816666666666666,2.6,6.0,0.4333333333333333
L50_mrs12_rpt6_ttl6,2,6.0,1.6,0.26666666666666633,0.26666666666666633,3.9,0.0,1982.4,1660.1,2375.0,2344.0,4759.0,4.0,0.7,1.2579999999999998,0.5,2379.0,12.0,44.373076923076916,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,11.066666666666666,4.2,12.0,0.35000000000000003
L50_mrs12_rpt6_ttl6,3,6.0,2.1,0.34999999999999964,0.34999999999999964,5.1,0.0,1980.8,1673.6,2375.6,2348.9,4759.0,4.0,0.3,1.265,0.5,2379.0,12.0,41.130769230769225,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,11.35,6.3,18.0,0.35
L50_mrs12_rpt6_ttl6,4,6.0,2.1,0.34999999999999964,0.34999999999999964,6.3,0.0,1983.1,1691.0,2375.2,2351.3,4759.0,4.0,0.2,1.2580000000000002,0.5,2379.0,12.0,35.315384615384616,0.0,16.0,4.5,6.0,6.0,0.0,123.0,11.9,11.116666666666665,8.4,24.0,0.35000000000000003
L50_mrs12_rpt6_ttl6,5,6.0,1.3,0.21666666666666626,0.21666666666666626,6.3,0.0,1988.3,1681.9,2376.6,2351.7,4759.0,4.0,0.7,1.1500000000000001,0.5,2379.0,12.0,34.75769230769231,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,11.283333333333331,9.7,30.0,0.3233333333333333
L50_mrs12_rpt6_ttl6,6,6.0,2.8,0.46666666666666645,0.46666666666666645,5.9,0.0,1979.6,1657.0,2376.6,2352.8,4759.0,4.0,0.6,1.238,0.5,2379.0,12.0,41.738461538461536,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.816666666666665,12.5,36.0,0.3472222222222222
L50_mrs12_rpt6_ttl6,7,6.0,2.1,0.3499999999999998,0.3499999999999998,6.4,0.0,1976.5,1653.9,2376.2,2347.0,4759.0,4.0,0.3,1.3800000000000001,0.5,2379.0,12.0,34.380769230769225,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,11.25,14.6,42.0,0.34761904761904766
L50_mrs12_rpt6_ttl6,8,6.0,1.8,0.29999999999999966,0.29999999999999966,6.0,0.0,1974.8,1660.6,2376.7,2349.5,4759.0,4.0,0.5,1.161,0.5,2379.0,12.0,36.888461538461534,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.900000000000002,16.4,48.0,0.3416666666666667
L50_mrs12_rpt6_ttl6,9,6.0,1.9,0.3166666666666663,0.3166666666666663,5.9,0.0,1983.1,1661.4,2377.3,2347.3,4759.0,4.0,0.3,1.198,0.5,2379.0,12.0,35.85769230769231,0.0,16.0,4.5,6.0,6.0,0.0,123.0,11.9,10.966666666666667,18.3,54.0,0.3388888888888889
L50_mrs12_rpt6_ttl6,10,6.0,1.6,0.2666666666666663,0.2666666666666663,5.2,0.0,2013.0,1725.3,2375.9,2351.6,4759.0,4.0,0.5,1.269,0.5,2379.0,12.0,37.31923076923077,0.0,16.0,4.5,6.0,6.0,0.0,123.0,11.9,10.9,19.9,60.0,0.33166666666666667
L50_mrs12_rpt6_ttl6,11,6.0,2.8,0.46666666666666634,0.46666666666666634,5.9,0.0,2012.6,1670.0,2376.8,2352.0,4759.0,4.0,0.6,1.269,0.5,2379.0,12.0,38.934615384615384,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.933333333333334,22.7,66.0,0.34393939393939404
L50_mrs12_rpt6_ttl6,12,6.0,1.4,0.23333333333333311,0.23333333333333311,5.6,0.0,2008.4,1634.7,2374.0,2348.4,4759.0,4.0,0.3,0.961,0.5,2379.0,12.0,39.253846153846155,0.0,16.0,4.5,6.0,6.0,0.0,123.0,11.9,10.95,24.1,72.0,0.33472222222222225
L50_mrs12_rpt6_ttl6,13,6.0,2.0,0.3333333333333329,0.3333333333333329,5.8,0.0,2014.6,1665.7,2377.1,2353.2,4759.0,4.0,0.4,0.944,0.5,2379.0,12.0,40.15,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.983333333333334,26.1,78.0,0.3346153846153846
L50_mrs12_rpt6_ttl6,14,6.0,1.8,0.29999999999999966,0.29999999999999966,5.7,0.0,2022.3,1669.0,2377.1,2353.5,4759.0,4.0,0.1,1.087,0.5,2379.0,12.0,36.69615384615384,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,11.016666666666667,27.9,84.0,0.3321428571428572
L50_mrs12_rpt6_ttl6,15,6.0,2.0,0.33333333333333315,0.26666666666666644,5.5,0.0,2001.6,1667.7,2377.1,2347.6,4759.0,4.0,0.6,1.043,0.5,2379.0,12.0,37.169230769230765,0.0,16.0,4.5,6.0,6.0,0.0,123.0,11.9,10.866666666666667,29.9,90.0,0.3322222222222222
L50_mrs12_rpt6_ttl6,16,6.0,2.5,0.4166666666666664,0.4166666666666664,5.7,0.0,1992.6,1674.9,2376.2,2353.1,4759.0,4.0,0.9,1.6239999999999999,0.5,2379.0,12.0,40.603846153846156,0.0,16.0,4.5,6.0,6.0,0.0,123.0,11.9,10.8,32.4,96.0,0.3375
L50_mrs12_rpt6_ttl6,17,6.0,1.6,0.26666666666666633,0.26666666666666633,5.8,0.0,1998.6,1667.9,2375.3,2354.9,4759.0,4.0,0.6,0.913,0.5,2379.0,12.0,34.6576923076923,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,11.166666666666668,34.0,102.0,0.3333333333333333
L50_mrs12_rpt6_ttl6,18,6.0,2.2,0.36666666666666625,0.36666666666666625,5.6,0.0,2034.0,1710.8,2373.9,2353.1,4759.0,4.0,0.4,1.0790000000000002,0.5,2379.0,12.0,36.72307692307692,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.866666666666667,36.2,108.0,0.3351851851851852
L50_mrs12_rpt6_ttl6,19,6.0,1.3,0.21666666666666634,0.21666667552083302,5.0,0.0,2008.8,1672.3,2374.8,2353.3,4759.0,4.0,0.3,1.0190000000000001,0.5,2379.0,12.0,38.06153846153846,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.950000000000001,37.5,114.0,0.32894736842105265
L50_mrs12_rpt6_ttl6,20,6.0,2.4,0.39999999999999963,0.39999999999999963,5.2,0.0,2021.9,1680.4,2376.4,2351.5,4759.0,4.0,0.5,1.2390000000000003,0.5,2379.0,12.0,39.48076923076923,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.933333333333334,39.9,120.0,0.33249999999999996
L50_mrs12_rpt6_ttl6,21,6.0,1.7,0.28333333333333305,0.28333333333333305,5.3,0.0,2025.8,1691.6,2374.0,2346.3,4759.0,4.0,0.5,1.182,0.5,2379.0,12.0,37.153846153846146,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.883333333333335,41.6,126.0,0.33015873015873015
L50_mrs12_rpt6_ttl6,22,6.0,2.1,0.34999999999999976,0.34999999999999976,6.4,0.0,2023.3,1714.3,2376.1,2352.8,4759.0,4.0,0.4,0.907,0.5,2379.0,12.0,36.138461538461534,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,11.35,43.7,132.0,0.33106060606060606
L50_mrs12_rpt6_ttl6,23,6.0,2.4,0.39999999999999963,0.39999999999999963,6.1,0.0,2004.0,1686.6,2375.5,2355.0,4759.0,4.0,0.5,1.2230000000000003,0.5,2379.0,12.0,36.465384615384615,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.866666666666665,46.1,138.0,0.33405797101449275
L50_mrs12_rpt6_ttl6,24,6.0,1.9,0.3166666666666663,0.3166666666666663,6.1,0.0,1994.7,1663.4,2376.7,2356.5,4759.0,4.0,0.2,1.129,0.5,2379.0,12.0,37.630769230769225,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.85,48.0,144.0,0.3333333333333333
L50_mrs12_rpt6_ttl6,25,6.0,2.1,0.34999999999999976,0.35000002550572795,6.5,0.0,1998.6,1676.3,2376.9,2357.0,4759.0,4.0,0.3,1.381,0.5,2379.0,12.0,37.91538461538461,0.0,16.0,4.5,6.0,6.0,0.0,123.0,12.0,10.916666666666666,50.1,150.0,0.33399999999999996
