latency_factor,vSDN_size,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_runtime,max_length,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp
0.1,2,17.9,0.41627906976744133,0.41627906976744133,0.0,181.1,0.0,422.6,0.0,4759.0,26.0,0.318,475.0,0.0,16.0,43.0,43.0,1.0,123.0,2.0
0.1,3,20.6,0.2314606741573027,0.2314606741573027,0.0,230.2,0.0,424.0,0.0,4759.0,26.0,0.34199999999999997,475.0,0.001,16.0,89.0,89.0,1.0,123.0,3.0
0.1,4,3.8,0.038,0.038,0.0,268.2,0.0,422.6,0.0,4759.0,26.0,0.376,475.0,0.006,16.0,100.0,100.0,0.49504950495049516,123.0,4.0
0.1,5,0.3,0.003,0.003,0.0,86.9,-0.7,126.5,-0.7,4759.0,26.0,0.396,475.0,0.011,16.0,100.0,100.0,0.20491803278688497,123.0,5.0
0.1,6,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.39,475.0,0.009999999999999998,16.0,100.0,100.0,0.08326394671107402,123.0,6.0
0.1,7,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.404,475.0,0.011,16.0,100.0,100.0,0.034542314335060005,123.0,7.0
0.1,8,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.37700000000000006,475.0,0.011,16.0,100.0,100.0,0.014889815366289003,123.0,8.0
0.1,9,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.386,475.0,0.009999999999999998,16.0,100.0,100.0,0.006741270055278,123.0,9.0
0.1,10,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.4,475.0,0.009999999999999998,16.0,100.0,100.0,0.003235198964736,123.0,10.0
0.1,11,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4759.0,26.0,0.388,475.0,0.011,16.0,100.0,100.0,0.0016611847569680004,123.0,11.0
