simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L45_mrs14_rpt6_ttl6,1,6.0,1.0,0.16666666666666632,0.713,1.0,0.0,959.0,774.2,1267.2,1254.6,4036.0,6.0,False,338.724,0.45,1816.0,14.0,142.40540540540542,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.066666666666668,1.0,6.0,0.16666666666666669
L45_mrs14_rpt6_ttl6,2,6.0,1.2,0.19999999999999962,0.713,2.2,0.0,1242.0,1010.5,1630.5,1620.4,4036.0,6.0,False,338.724,0.45,1816.0,14.0,107.3054054054054,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.366666666666665,2.2,12.0,0.18333333333333332
L45_mrs14_rpt6_ttl6,3,6.0,1.1,0.18333333333333293,0.713,3.0,0.0,1409.9,1148.0,1812.9,1790.3,4036.0,6.0,False,338.724,0.45,1816.0,14.0,89.4054054054054,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.583333333333332,3.3,18.0,0.18333333333333338
L45_mrs14_rpt6_ttl6,4,6.0,1.7,0.2833333333333331,0.713,4.1,0.0,1294.6,1075.0,1631.8,1610.1,4036.0,6.0,False,338.724,0.45,1816.0,14.0,80.67567567567568,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.283333333333331,5.0,24.0,0.20833333333333331
L45_mrs14_rpt6_ttl6,5,6.0,1.3,0.21666666666666634,0.713,4.6,0.0,1270.2,1031.7,1631.2,1614.8,4036.0,6.0,False,338.724,0.45,1816.0,14.0,78.94324324324324,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.283333333333331,6.3,30.0,0.20999999999999996
L45_mrs14_rpt6_ttl6,6,6.0,1.3,0.21666666666666626,0.713,3.4,0.0,1284.7,1073.5,1632.0,1614.8,4036.0,6.0,False,338.724,0.45,1816.0,14.0,89.34594594594594,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.15,7.6,36.0,0.2111111111111111
L45_mrs14_rpt6_ttl6,7,6.0,0.9,0.14999999999999972,0.713,3.5,0.0,1280.6,1061.8,1631.3,1612.3,4036.0,6.0,False,338.724,0.45,1816.0,14.0,81.49189189189188,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.416666666666666,8.5,42.0,0.20238095238095238
L45_mrs14_rpt6_ttl6,8,6.0,1.1,0.18333333333333293,0.713,3.1,0.0,1406.0,1139.8,1811.9,1792.2,4036.0,6.0,False,338.724,0.45,1816.0,14.0,91.17297297297299,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.166666666666666,9.6,48.0,0.2
L45_mrs14_rpt6_ttl6,9,6.0,0.9,0.14999999999999963,0.713,3.0,0.0,1432.3,1163.1,1812.5,1792.2,4036.0,6.0,False,338.724,0.45,1816.0,14.0,85.91621621621621,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.3,10.5,54.0,0.19444444444444442
L45_mrs14_rpt6_ttl6,10,6.0,1.2,0.19999999999999973,0.713,2.6,0.0,1460.2,1208.3,1812.4,1793.4,4036.0,6.0,False,338.724,0.45,1816.0,14.0,97.0783783783784,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.383333333333335,11.7,60.0,0.19499999999999998
L45_mrs14_rpt6_ttl6,11,6.0,1.2,0.19999999999999954,0.713,3.1,0.0,1440.2,1181.7,1813.2,1795.0,4036.0,6.0,False,338.724,0.45,1816.0,14.0,87.1918918918919,0.0,16.0,4.5,6.0,100.0,0.0,123.0,7.0,13.083333333333334,12.9,66.0,0.19545454545454544
