simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L45_mrs14_rpt6_ttl6,1,6.0,2.4,0.3999999999999998,0.3999999999999998,2.4,0.0,1490.5,1250.5,1812.4,1772.5,4036.0,6.0,3.1,55.599000000000004,0.45,1816.0,14.0,142.40540540540542,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.066666666666668,2.4,6.0,0.4
L45_mrs14_rpt6_ttl6,2,6.0,1.5,0.24999999999999972,0.24999999999999972,3.6,0.0,1490.6,1236.5,1813.8,1781.0,4036.0,6.0,1.3,34.871,0.45,1816.0,14.0,80.58648648648648,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.366666666666665,3.9,12.0,0.325
L45_mrs14_rpt6_ttl6,3,6.0,1.9,0.3166666666666663,0.31666666666666643,4.7,0.0,1471.4,1197.1,1812.4,1785.3,4036.0,6.0,0.5,11.645,0.45,1816.0,14.0,72.67837837837837,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.583333333333332,5.8,18.0,0.32222222222222224
L45_mrs14_rpt6_ttl6,4,6.0,1.7,0.28333333333333305,0.28333333974945213,5.4,0.0,1479.1,1211.6,1813.9,1791.1,4036.0,6.0,0.7,12.188999999999998,0.45,1816.0,14.0,64.82702702702701,0.0,16.0,4.5,6.0,6.0,0.0,123.0,13.9,13.283333333333331,7.5,24.0,0.3125
L45_mrs14_rpt6_ttl6,5,6.0,1.2,0.19999999999999973,0.19999999999999973,5.4,0.0,1491.5,1234.3,1813.4,1785.7,4036.0,6.0,0.5,12.552999999999999,0.45,1816.0,14.0,64.2945945945946,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.283333333333331,8.7,30.0,0.29
L45_mrs14_rpt6_ttl6,6,6.0,1.5,0.24999999999999964,0.24999999999999964,4.4,0.0,1480.4,1206.4,1812.1,1790.7,4036.0,6.0,0.8,17.580000000000002,0.45,1816.0,14.0,78.78378378378379,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.15,10.2,36.0,0.2833333333333333
L45_mrs14_rpt6_ttl6,7,6.0,0.9,0.14999999999999963,0.14999999999999963,4.2,0.0,1503.5,1223.0,1812.0,1793.5,4036.0,6.0,0.7,20.039,0.45,1816.0,14.0,71.70270270270271,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.416666666666666,11.1,42.0,0.2642857142857143
L45_mrs14_rpt6_ttl6,8,6.0,2.1,0.34999999999999976,0.34999999999999976,4.4,0.0,1495.2,1218.4,1812.0,1792.2,4036.0,6.0,1.1,20.938,0.45,1816.0,14.0,81.57567567567568,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.166666666666666,13.2,48.0,0.275
L45_mrs14_rpt6_ttl6,9,6.0,0.6,0.09999999999999971,0.09999999999999971,3.8,0.0,1503.8,1248.0,1812.7,1788.8,4036.0,6.0,0.6,16.974,0.45,1816.0,14.0,68.86756756756758,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.3,13.8,54.0,0.2555555555555556
L45_mrs14_rpt6_ttl6,10,6.0,2.0,0.33333333333333315,0.33333333333333315,4.0,0.0,1501.4,1228.4,1813.4,1790.6,4036.0,6.0,1.3,25.921999999999997,0.45,1816.0,14.0,87.86486486486487,0.0,16.0,4.5,6.0,6.0,0.0,123.0,14.0,13.383333333333335,15.8,60.0,0.2633333333333333
