latency_factor,vSDN_size,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_runtime,max_length,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp
0.1,2,32.3,0.5666666666666665,0.0,0.0,185.7,27.9,400.1,335.0,4036.0,35.0,2.437,403.0,0.0,16.0,57.0,100.0,1.0,123.0,9.0
0.1,3,31.7,0.317,0.0,0.0,221.0,18.0,398.8,340.5,4036.0,35.0,2.437,403.0,0.009999999999999998,16.0,100.0,100.0,0.757575757575757,123.0,9.0
0.1,4,4.3,0.043000000000000003,0.0,0.0,260.2,39.1,392.0,265.8,4036.0,35.0,2.437,403.0,0.009999999999999998,16.0,100.0,100.0,0.29498525073746296,123.0,9.0
0.1,5,0.3,0.003,0.0,0.0,83.8,17.8,115.4,92.1,4036.0,35.0,2.437,403.0,0.009999999999999998,16.0,100.0,100.0,0.109289617486338,123.0,9.0
0.1,6,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.009999999999999998,16.0,100.0,100.0,0.039968025579536,123.0,9.0
0.1,7,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.009999999999999998,16.0,100.0,100.0,0.014729709824716001,123.0,9.0
0.1,8,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.015000000000000003,16.0,100.0,100.0,0.005478851632697,123.0,9.0
0.1,9,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.015999999999999997,16.0,100.0,100.0,0.0020580366330519998,123.0,9.0
0.1,10,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.018999999999999996,16.0,100.0,100.0,0.0007831221513930002,123.0,9.0
0.1,11,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.019999999999999997,16.0,100.0,100.0,0.00030365970678599997,123.0,9.0
0.1,12,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.019999999999999997,16.0,100.0,100.0,0.00012107182464900004,123.0,9.0
0.1,13,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.019999999999999997,16.0,100.0,100.0,5.013896012799473e-05,123.0,9.0
0.1,14,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.023999999999999997,16.0,100.0,100.0,2.1769612624982063e-05,123.0,9.0
0.1,15,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.027000000000000003,16.0,100.0,100.0,1.634524291319303e-05,123.0,9.0
0.1,16,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.027000000000000003,16.0,100.0,100.0,1.725707432190483e-05,123.0,9.0
0.1,17,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.030000000000000006,16.0,100.0,100.0,1.86770381504652e-05,123.0,9.0
0.1,18,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,4036.0,35.0,2.437,403.0,0.031000000000000007,16.0,100.0,100.0,2.0820160244445328e-05,123.0,9.0
0.2,2,46.1,0.8087719298245609,0.015999999999999997,0.0,450.6,169.1,797.8,698.2,4036.0,23.0,2.8770000000000002,807.0,0.011,16.0,57.0,100.0,1.0,123.0,9.0
0.2,3,47.3,0.47300000000000003,0.015999999999999997,0.0,466.4,145.0,799.2,696.3,4036.0,23.0,2.8770000000000002,807.0,0.020999999999999998,16.0,100.0,100.0,0.757575757575757,123.0,9.0
